Author Year instr t0_Me t0_Se t0_Mc t0_Sc ti_Me ti_Se ti_Mc ti_Sc Ne Nc CG bal sess
HaukksonICBT	2017	BDI	33.08	9.86	30.03	9.98	12.64	9.59	17.75	11.15	59	18	1	0	12
HaukssonGCBT	2017	BDI	29.96	8.88	30.03	9.98	16.77	9.21	17.75	11.15	86	18	1	0	12
Köhler	2013	HDRS	28.73	7.42	28.62	7.14	6.52	7.16	8.76	7.09	105	101	1	0	14
Köhler	2013	BDI	27.66	10.22	27.31	10.21	12.67	9.62	15.95	10.46	105	101	1	0	14
Rieu	2011	HDRS	23.27	6.28	19.27	3.88	12.27	10.07	14.36	4.84	11	11	2	1	6
Rieu	2011	BDI	36.73	12.02	36.09	7.46	18.82	16.48	20.55	11.39	11	11	2	1	6
Schramm	2007	HDRS	25.1	5.1	21.9	4.1	8.9	6.4	11.8	7.9	63	61	2	1	13
Schramm	2007	BDI	29.5	7.9	30.1	10.2	14.4	10.2	15.1	11.9	63	61	2	1	13
Hopko	2003	BDI	35.1	7.4	37.1	13.4	19.1	13.1	30.2	17	10	15	2	1	6
LemmensSFT	2009	BDI	26.2	13.5	27.3	10.7	19.3	10.7	21.9	10.8	25	11.5	3	0	7
LemmensMFT	2009	BDI	26.6	9.9	27.3	10.7	18.7	9.1	21.9	10.8	35	11.5	3	0	7
Nickel	2004	BDI	21.5	2.5	21.3	2.2	13.3	2.1	15.6	3.2	15	16	3	1	6
MillerCBT	1989	HDRS	23.9	3.7	22.6	3.7	18.5	10.5	14.1	12.4	14	8.5	2	0	11
MillerCBT	1989	BDI	25.7	6.9	29.2	7.5	15	10.1	11.4	11.5	14	8.5	2	0	11
MillerSST	1989	HDRS	23.3	3.6	22.6	3.7	12.7	11.6	14.1	12.4	14	8.5	2	0	14
MillerSST	1989	BDI	30.6	3.6	29.2	7.5	7.7	10.9	11.4	11.5	14	8.5	2	0	14
BowersCBT	1993	HDRS	20.3	3.3	21.1	2.6	6.2	2.2	9.3	3.7	8	4	1	0	8
BowersCBT	1993	BDI	32.9	12.8	29.6	10.4	9	6.1	14.1	5.2	8	4	1	0	8
BowersCCBT	1993	HDRS	23.2	2.9	21.1	2.6	13.3	5.1	9.3	3.7	6	4	1	0	8BowersCCBT	1993	BDI	32	11.2	29.6	10.4	16.8	3.8	14.1	5.2	6	4	1	0	8
Bowers 	1990	HDRS	20.7	4.76	22.1	5.98	9.2	5.31	11.5	5.77	10	10	1	0	12
Bowers 	1990	BDI	24.2	10.55	31.2	7.68	13.5	6.87	27.1	12.25	10	10	1	0	12
Brand	1992	HDRS	23	5.6	24.7	5.6	9.89	6.6	14.7	6.6	27	26	1	0	8
Brand	1992	BDI	21.7	9	25.7	12.3	13.7	8.4	16.3	10.3	27	26	1	0	8
DeJongCOMB	1986	BDI	29.1	7.3	31.1	8.7	12.1	8.8	23	12.1	10	5	1	0	34
DeJongCOMB	1986	HDRS	26.6	7.1	25.5	6.8	10.8	8.3	17.5	9.8	10	5	1	0	34
DeJongCR	1986	BDI	27.9	8.9	31.1	8.7	22.4	12.9	23	12.1	10	5	1	0	48DeJongCR	1986	HDRS	23.5	6.2	25.5	6.8	10.2	6.6	17.5	9.8	10	5	1	0	48
Barth	2005	BDI	19.04	6.39	21.25	5.43	12.34	7.69	15.29	7.65	25	23	1	0	6
HautzingerBT	1996	BDI	30.1	7.1	30.9	8.4	12.6	10.7	14.3	10.3	26	12.5	2	1	24
HautzingerBT	1996	HDRS	25.3	5.7	25.5	6	10	8.1	11.3	7.6	26	12.5	2	1	24
HautzingerBT+AD	1996	BDI	30.4	10	30.9	8.4	11.3	10.4	14.3	10.3	24	12.5	2	1	24
HautzingerBT+AD	1996	HDRS	24.4	4.2	25.5	6	9.3	7.5	11.3	7.6	24	12.5	2	1	24
DeRoten	2017	MADRS	29.42	6.73	30.88	6.69	18.78	10.79	23.08	11.2	76	73	2	0	9
DeJong-Meyer	1996	BDI	31.3	7.5	31.6	9.8	12.2	11.9	12.8	12	36	44	2	1	24
DeJong-Meyer	1996	HDRS	28.7	5.3	30	7.9	9.9	8	9.8	7.9	37	46	2	1	24
Trapp	2016	BDI	28.17	10.76	27.22	10.77	16.04	12.32	18.22	12.89	21	20	3	0	12Trapp	2016	HDRS	11.91	4.27	12.17	3.14	6.09	2.86	8.83	4.65	21	20	3	0	12
Berking	2013	BDI	24.06	8.65	24.45	8.35	10.3	8.9	12.72	9.86	186	229	3	1	10
Zwerenz	2017	BDI	30.63	9.39	29.46	9.5	17.51	9.47	22.06	9.68	107	108	3	1	24
